,image0000013A
1,False
2,True
3,True
4,True
5,-
6,-
7,True
8,-
9,-
10,True
11,True
12,-
13,-
14,-
15,True
16,-
17,-
18,True
19,-
20,False
21,True
22,False
23,-
24,True
25,-
26,True
27,False
28,-
29,-
30,-
31,True
32,True
33,True
34,True
35,True
36,False
37,-
38,True
39,-
40,-
41,True
42,-
43,-
44,-
45,-
46,-
47,-
48,False
49,-
50,True
51,True
52,-
53,-
54,-
55,-
56,-
57,-
58,True
59,-
60,-
61,-
62,-
63,False
64,-
65,-
66,-
67,True
68,-
69,-
70,-
71,-
72,-
73,-
74,False
75,True
76,False
77,False
78,True
79,-
80,-
81,True
82,False
83,True
84,-
85,-
86,-
87,-
88,-
89,False
90,-
91,-
92,-
93,-
94,-
95,-
96,-
97,-
98,True
99,-
100,-
101,-
102,-
103,-
104,False
105,-
106,-
107,True
108,-
109,-
110,True
111,True
112,-
113,True
114,-
115,-
116,-
117,-
118,-
119,-
120,-
121,-
122,-
123,-
124,-
125,-
126,-
127,-
128,-
129,-
130,-
131,-
132,-
133,-
134,-
135,-
136,-
137,-
138,-
139,-
140,-
141,-
142,-
143,-
144,-
145,False
146,-
147,-
148,-
149,-
150,-
151,True
152,True
153,-
154,-
155,-
156,-
157,-
158,True
159,-
160,-
161,-
162,True
163,True
164,-
165,True
